frequency/GHz;epsilon_r';epsilon_r'';n;alpha
96.9;2.1473157133;0.0089056689;1.4653753604;0.1233388947
96.925;2.147316153;0.0088978121;1.4653755049;0.1232618622
96.95;2.1473148909;0.0088901029;1.4653750688;0.1231868691
96.975;2.147311929;0.008882444;1.4653740528;0.1231125655
97;2.1473072753;0.0088747382;1.4653724595;0.1230376057
97.025;2.147300944;0.0088668891;1.4653702936;0.1229606526
97.05;2.147292955;0.0088588016;1.465367562;0.1228803827
97.075;2.1472833346;0.0088503817;1.4653642735;0.1227954896
97.1;2.1472721146;0.0088415372;1.4653604389;0.1227046889
97.125;2.1472593326;0.0088321778;1.465356071;0.1226067224
97.15;2.1472450316;0.0088222157;1.4653511843;0.1225003615
97.175;2.14722926;0.0088115653;1.4653457954;0.1223844124
97.2;2.1472120715;0.0088001442;1.4653399224;0.1222577187
97.225;2.1471935246;0.0087878729;1.4653335853;0.122119166
97.25;2.1471736827;0.0087746753;1.4653268056;0.1219676853
97.275;2.1471526135;0.0087604787;1.4653196065;0.121802256
97.3;2.1471303893;0.0087452147;1.4653120125;0.1216219098
97.325;2.1471070861;0.0087288184;1.4653040495;0.1214257333
97.35;2.147082784;0.0087112295;1.4652957448;0.1212128712
97.375;2.1470575664;0.0086923921;1.4652871269;0.1209825286
97.4;2.1470315199;0.0086722546;1.4652782251;0.1207339741
97.425;2.1470047342;0.0086507706;1.4652690702;0.1204665415
97.45;2.1469773014;0.0086278983;1.4652596935;0.1201796323
97.475;2.146949316;0.008603601;1.4652501272;0.1198727172
97.5;2.1469208746;0.0085778471;1.4652404044;0.1195453381
97.525;2.1468920753;0.0085506104;1.4652305583;0.119197109
97.55;2.1468630178;0.0085218697;1.4652206232;0.1188277176
97.575;2.1468338025;0.0084916095;1.4652106331;0.1184369259
97.6;2.1468045309;0.0084598195;1.4652006228;0.1180245712
97.625;2.1467753046;0.0084264947;1.465190627;0.117590566
97.65;2.1467462253;0.0083916358;1.4651806803;0.1171348987
97.675;2.1467173945;0.0083552488;1.4651708175;0.1166576332
97.7;2.1466889132;0.008317345;1.4651610729;0.1161589087
97.725;2.1466608812;0.0082779411;1.4651514807;0.1156389392
97.75;2.1466333973;0.0082370592;1.4651420747;0.1150980126
97.775;2.1466065588;0.0081947262;1.465132888;0.1145364898
97.8;2.146580461;0.0081509745;1.4651239533;0.1139548034
97.825;2.1465551972;0.0081058414;1.4651153025;0.113353456
97.85;2.1465308582;0.0080593687;1.4651069664;0.1127330188
97.875;2.1465075321;0.0080116035;1.4650989754;0.1120941297
97.9;2.1464853042;0.0079625968;1.4650913585;0.1114374909
97.925;2.1464642564;0.0079124045;1.4650841437;0.1107638668
97.95;2.1464444672;0.0078610865;1.465077358;0.1100740815
97.975;2.1464260115;0.0078087065;1.4650710268;0.1093690158
98;2.14640896;0.0077553322;1.4650651744;0.1086496049
98.025;2.1463933796;0.0077010349;1.4650598238;0.1079168349
98.05;2.1463793327;0.0076458891;1.4650549961;0.1071717397
98.075;2.1463668773;0.0075899725;1.4650507115;0.1064153981
98.1;2.1463560666;0.0075333654;1.4650469879;0.1056489295
98.125;2.1463469493;0.007476151;1.4650438422;0.1048734915
98.15;2.1463395689;0.0074184146;1.4650412892;0.1040902752
98.175;2.1463339639;0.0073602437;1.4650393421;0.103300502
98.2;2.1463301676;0.0073017275;1.4650380124;0.1025054196
98.225;2.1463282084;0.0072429566;1.4650373097;0.1017062982
98.25;2.146328109;0.0071840229;1.465037242;0.1009044263
98.275;2.1463298869;0.0071250194;1.4650378152;0.1001011073
98.3;2.1463335544;0.0070660394;1.4650390336;0.0992976545
98.325;2.1463391183;0.0070071768;1.4650408995;0.098495388
98.35;2.1463465798;0.0069485255;1.4650434135;0.0976956301
98.375;2.1463559351;0.0068901791;1.4650465743;0.0968997016
